FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,SALARY
Steven,King,Steven.King@company.com,5151234567,17-06-2003,24000
Neena,Kochhar,Neena.Kochhar@company.com,5151234568,21-09-2005,17000
Lex,De Haan,Lex.De Haan@company.com,5151234569,13-01-2001,17000
Alexander,Hunold,Alexander.Hunold@company.com,5904234567,03-01-2006,9000
Bruce,Ernst,Bruce.Ernst@company.com,5904234568,21-05-2007,6000
David,Austin,David.Austin@company.com,5904234569,25-06-2005,4800
Valli,Pataballa,Valli.Pataballa@company.com,5904234560,05-02-2006,4800
Diana,Lorentz,Diana.Lorentz@company.com,5904235567,07-02-2007,4200
Nancy,Greenberg,Nancy.Greenberg@company.com,5151244569,17-08-2002,12008
Daniel,Faviet,Daniel.Faviet@company.com,5151244169,16-08-2002,9000
John,Chen,John.Chen@company.com,5151244269,28-09-2005,8200
Ismael,Sciarra,Ismael.Sciarra@company.com,5151244369,30-09-2005,7700
Jose Manuel,Urman,Jose Manuel.Urman@company.com,5151244469,07-03-2006,7800
Luis,Popp,Luis.Popp@company.com,5151244567,07-12-2007,6900
Den,Raphaely,Den.Raphaely@company.com,5151274561,07-12-2002,11000
Alexander,Khoo,Alexander.Khoo@company.com,5151274562,18-05-2003,3100
Shelli,Baida,Shelli.Baida@company.com,5151274563,24-12-2005,2900
Sigal,Tobias,Sigal.Tobias@company.com,5151274564,24-07-2005,2800
Guy,Himuro,Guy.Himuro@company.com,5151274565,15-11-2006,2600
Karen,Colmenares,Karen.Colmenares@company.com,5151274566,10-08-2007,2500
Matthew,Weiss,Matthew.Weiss@company.com,6501231234,18-07-2004,8000
Adam,Fripp,Adam.Fripp@company.com,6501232234,10-04-2005,8200
Payam,Kaufling,Payam.Kaufling@company.com,6501233234,01-05-2003,7900
Shanta,Vollman,Shanta.Vollman@company.com,6501234234,10-10-2005,6500
Kevin,Mourgos,Kevin.Mourgos@company.com,6501235234,16-11-2007,5800
Julia,Nayer,Julia.Nayer@company.com,6501241214,16-07-2005,3200
Irene,Mikkilineni,Irene.Mikkilineni@company.com,6501241224,28-09-2006,2700
James,Landry,James.Landry@company.com,6501241334,14-01-2007,2400
Steven,Markle,Steven.Markle@company.com,6501241434,08-03-2008,2200
Laura,Bissot,Laura.Bissot@company.com,6501245234,20-08-2005,3300
Mozhe,Atkinson,Mozhe.Atkinson@company.com,6501246234,30-10-2005,2800
James,Marlow,James.Marlow@company.com,6501247234,16-02-2005,2500
TJ,Olson,TJ.Olson@company.com,6501248234,10-04-2007,2100
Jason,Mallin,Jason.Mallin@company.com,6501271934,14-06-2004,3300
Michael,Rogers,Michael.Rogers@company.com,6501271834,26-08-2006,2900
Ki,Gee,Ki.Gee@company.com,6501271734,12-12-2007,2400
Hazel,Philtanker,Hazel.Philtanker@company.com,6501271634,06-02-2008,2200
Renske,Ladwig,Renske.Ladwig@company.com,6501211234,14-07-2003,3600
Stephen,Stiles,Stephen.Stiles@company.com,6501212034,26-10-2005,3200
John,Seo,John.Seo@company.com,6501212019,12-02-2006,2700
Joshua,Patel,Joshua.Patel@company.com,6501211834,06-04-2006,2500
Trenna,Rajs,Trenna.Rajs@company.com,6501218009,17-10-2003,3500
Curtis,Davies,Curtis.Davies@company.com,6501212994,29-01-2005,3100
Randall,Matos,Randall.Matos@company.com,6501212874,15-03-2006,2600
Peter,Vargas,Peter.Vargas@company.com,6501212004,09-07-2006,2500
John,Russell,John.Russell@company.com,1.14413E+13,01-10-2004,14000
Karen,Partners,Karen.Partners@company.com,1.14413E+13,05-01-2005,13500
Alberto,Errazuriz,Alberto.Errazuriz@company.com,1.14413E+13,10-03-2005,12000
Gerald,Cambrault,Gerald.Cambrault@company.com,1.14413E+13,15-10-2007,11000
Eleni,Zlotkey,Eleni.Zlotkey@company.com,1.14413E+13,29-01-2008,10500
Peter,Tucker,Peter.Tucker@company.com,1.14413E+13,30-01-2005,10000
David,Bernstein,David.Bernstein@company.com,1.14413E+13,24-03-2005,9500
Peter,Hall,Peter.Hall@company.com,1.14413E+13,20-08-2005,9000
Christopher,Olsen,Christopher.Olsen@company.com,1.14413E+13,30-03-2006,8000
Nanette,Cambrault,Nanette.Cambrault@company.com,1.14413E+13,09-12-2006,7500
Oliver,Tuvault,Oliver.Tuvault@company.com,1.14413E+13,23-11-2007,7000
Janette,King,Janette.King@company.com,1.14413E+13,30-01-2004,10000
Patrick,Sully,Patrick.Sully@company.com,1.14413E+13,04-03-2004,9500
Allan,McEwen,Allan.McEwen@company.com,1.14413E+13,01-08-2004,9000
Lindsey,Smith,Lindsey.Smith@company.com,1.14413E+13,10-03-2005,8000
Louise,Doran,Louise.Doran@company.com,1.14413E+13,15-12-2005,7500
Sarath,Sewall,Sarath.Sewall@company.com,1.14413E+13,03-11-2006,7000
Clara,Vishney,Clara.Vishney@company.com,1.14413E+13,11-11-2005,10500
